gene_name	ensembl_gene_id
AAAS	ENSG00000094914
AAGAB	ENSG00000103591
AAMP	ENSG00000127837
AAR2	ENSG00000131043
AARS	ENSG00000090861
AARS2	ENSG00000124608
AARSD1	ENSG00000266967
AASDHPPT	ENSG00000149313
AATF	ENSG00000275700
AATF	 ENSG00000276072
ABCB10	ENSG00000135776
ABCB7	ENSG00000131269
ABCD3	ENSG00000117528
ABCE1	ENSG00000164163
ABCF1	ENSG00000232169
ABCF1	 ENSG00000231129
ABCF1	 ENSG00000204574
ABCF1	 ENSG00000206490
ABCF1	 ENSG00000236342
ABCF1	 ENSG00000225989
ABCF1	 ENSG00000236149
ABCF2	ENSG00000033050
ABCF3	ENSG00000161204
ABHD10	ENSG00000144827
ABHD12	ENSG00000100997
ABHD13	ENSG00000139826
ABHD14A	ENSG00000248487
ABHD16A	ENSG00000236063
ABHD16A	 ENSG00000235676
ABHD16A	 ENSG00000230475
ABHD16A	 ENSG00000206403
ABHD16A	 ENSG00000231488
ABHD16A	 ENSG00000224552
ABHD16A	 ENSG00000204427
ABHD4	ENSG00000100439
ABHD8	ENSG00000127220
ABI1	ENSG00000136754
ABT1	ENSG00000146109
ACAD9	ENSG00000177646
ACADVL	ENSG00000072778
ACAP3	ENSG00000131584
ACBD3	ENSG00000182827
ACBD5	ENSG00000107897
ACBD6	ENSG00000230124
ACIN1	ENSG00000100813
ACLY	ENSG00000131473
ACOT13	ENSG00000112304
ACOT8	ENSG00000101473
ACOT9	ENSG00000123130
ACOX1	ENSG00000161533
ACOX3	ENSG00000087008
ACP1	ENSG00000143727
ACSF3	ENSG00000176715
ACSL3	ENSG00000123983
ACSS2	ENSG00000131069
ACTR10	ENSG00000131966
ACTR1A	ENSG00000138107
ACTR1B	ENSG00000115073
ACTR5	ENSG00000101442
ACTR8	ENSG00000113812
ACVR1	ENSG00000115170
ACVR1B	ENSG00000135503
ADCK2	ENSG00000133597
ADCK4	ENSG00000123815
ADH5	ENSG00000197894
ADI1	ENSG00000182551
ADI1	 ENSG00000280830
ADIPOR1	ENSG00000159346
ADIPOR2	ENSG00000006831
ADK	ENSG00000156110
ADNP	ENSG00000101126
ADO	ENSG00000181915
ADPRH	ENSG00000144843
ADPRHL2	ENSG00000116863
ADPRM	ENSG00000170222
ADSL	ENSG00000239900
AES	ENSG00000104964
AFF4	ENSG00000072364
AFTPH	ENSG00000119844
AGFG1	ENSG00000173744
AGGF1	ENSG00000164252
AGPAT1	ENSG00000227642
AGPAT1	 ENSG00000226467
AGPAT1	 ENSG00000228892
AGPAT1	 ENSG00000204310
AGPAT1	 ENSG00000236873
AGPAT1	 ENSG00000235758
AGPAT1	 ENSG00000206324
AGPAT3	ENSG00000160216
AGPS	ENSG00000018510
AHCY	ENSG00000101444
AHSA1	ENSG00000100591
AIMP1	ENSG00000164022
AIP	ENSG00000110711
AK2	ENSG00000004455
AK3	ENSG00000147853
AKAP8	ENSG00000105127
AKAP9	ENSG00000127914
AKIP1	ENSG00000166452
AKIRIN1	ENSG00000174574
AKIRIN2	ENSG00000135334
AKR1A1	ENSG00000117448
AKR7A2	ENSG00000053371
AKT1	ENSG00000142208
AKT1S1	ENSG00000204673
AKTIP	ENSG00000166971
ALAD	ENSG00000148218
ALDH3A2	ENSG00000072210
ALDH9A1	ENSG00000143149
ALG11	ENSG00000253710
ALG5	ENSG00000120697
ALG8	ENSG00000159063
ALG9	ENSG00000086848
ALKBH1	ENSG00000100601
ALKBH2	ENSG00000189046
ALKBH3	ENSG00000166199
ALKBH5	ENSG00000091542
ALS2	ENSG00000003393
ALYREF	ENSG00000183684
AMBRA1	ENSG00000110497
AMD1	ENSG00000123505
ANAPC10	ENSG00000164162
ANAPC11	ENSG00000141552
ANAPC13	ENSG00000129055
ANAPC15	ENSG00000110200
ANAPC16	ENSG00000166295
ANAPC2	ENSG00000176248
ANAPC5	ENSG00000089053
ANAPC7	ENSG00000196510
ANKFY1	ENSG00000185722
ANKH	ENSG00000154122
ANKHD1	ENSG00000131503
ANKRD10	ENSG00000088448
ANKRD17	ENSG00000132466
ANKRD28	ENSG00000206560
ANKRD39	ENSG00000213337
ANKRD46	ENSG00000186106
ANO6	ENSG00000177119
ANP32A	ENSG00000140350
ANP32B	ENSG00000136938
ANP32E	ENSG00000143401
ANXA6	ENSG00000197043
ANXA7	ENSG00000138279
AP1B1	ENSG00000100280
AP1G1	ENSG00000166747
AP1M1	ENSG00000072958
AP2A1	ENSG00000196961
AP2A2	ENSG00000280759
AP2A2	 ENSG00000183020
AP2A2	 ENSG00000281385
AP2M1	ENSG00000161203
AP2S1	ENSG00000042753
AP3B1	ENSG00000132842
AP3D1	ENSG00000065000
AP3M1	ENSG00000185009
AP3S1	ENSG00000177879
AP3S2	ENSG00000157823
AP4B1	ENSG00000134262
AP5M1	ENSG00000053770
APEH	ENSG00000164062
APEX1	ENSG00000100823
APEX2	ENSG00000169188
APH1A	ENSG00000117362
API5	ENSG00000166181
APIP	ENSG00000149089
APOA1BP	ENSG00000163382
APOL2	ENSG00000128335
APOOL	ENSG00000155008
APOPT1	ENSG00000256053
APPL2	ENSG00000136044
APTX	ENSG00000137074
ARAF	ENSG00000078061
ARCN1	ENSG00000095139
ARF1	ENSG00000143761
ARF5	ENSG00000004059
ARF6	ENSG00000165527
ARFGAP2	ENSG00000149182
ARFGAP3	ENSG00000242247
ARFGEF2	ENSG00000124198
ARFIP1	ENSG00000164144
ARFIP2	ENSG00000132254
ARFRP1	ENSG00000101246
ARHGAP35	ENSG00000160007
ARHGAP5	ENSG00000100852
ARHGDIA	ENSG00000141522
ARHGEF10L	ENSG00000074964
ARHGEF11	ENSG00000132694
ARHGEF40	ENSG00000165801
ARIH1	ENSG00000166233
ARIH2	ENSG00000177479
ARIH2OS	ENSG00000221883
ARL1	ENSG00000120805
ARL14EP	ENSG00000152219
ARL5A	ENSG00000162980
ARL6IP4	ENSG00000182196
ARL8A	ENSG00000143862
ARL8B	ENSG00000134108
ARMC1	ENSG00000104442
ARMC10	ENSG00000170632
ARMC10	 ENSG00000282813
ARMC5	ENSG00000140691
ARMC6	ENSG00000105676
ARMC7	ENSG00000125449
ARMC8	ENSG00000114098
ARMCX3	ENSG00000102401
ARMCX5	ENSG00000125962
ARNT	ENSG00000143437
ARPC1A	ENSG00000241685
ARPC2	ENSG00000163466
ARPC5L	ENSG00000136950
ARV1	ENSG00000173409
ASB1	ENSG00000065802
ASB6	ENSG00000148331
ASB7	ENSG00000183475
ASB8	ENSG00000177981
ASCC1	ENSG00000138303
ASCC3	ENSG00000112249
ASF1A	ENSG00000111875
ASH2L	ENSG00000129691
ASNA1	ENSG00000198356
ASNSD1	ENSG00000138381
ASPSCR1	ENSG00000169696
ASUN	ENSG00000064102
ASXL1	ENSG00000171456
ATAD1	ENSG00000283024
ATAD1	 ENSG00000138138
ATAD3A	ENSG00000197785
ATE1	ENSG00000107669
ATF1	ENSG00000123268
ATF2	ENSG00000115966
ATF4	ENSG00000128272
ATF6	ENSG00000118217
ATF7	ENSG00000170653
ATF7IP	ENSG00000171681
ATG12	ENSG00000145782
ATG13	ENSG00000175224
ATG16L1	ENSG00000085978
ATG16L1	 ENSG00000281089
ATG2A	ENSG00000110046
ATG2B	ENSG00000066739
ATG3	ENSG00000144848
ATG4B	ENSG00000168397
ATG4D	ENSG00000130734
ATG5	ENSG00000057663
ATG7	ENSG00000197548
ATIC	ENSG00000138363
ATL2	ENSG00000119787
ATMIN	ENSG00000166454
ATOX1	ENSG00000177556
ATP2C1	ENSG00000017260
ATP5A1	ENSG00000152234
ATP5B	ENSG00000110955
ATP5C1	ENSG00000165629
ATP5D	ENSG00000099624
ATP5F1	ENSG00000116459
ATP5G2	ENSG00000135390
ATP5G3	ENSG00000154518
ATP5H	ENSG00000167863
ATP5J	ENSG00000154723
ATP5J2	ENSG00000241468
ATP5L	ENSG00000167283
ATP5O	ENSG00000241837
ATP5S	ENSG00000125375
ATP5SL	ENSG00000105341
ATP6AP1	ENSG00000071553
ATP6V0A2	ENSG00000185344
ATP6V0B	ENSG00000117410
ATP6V0C	ENSG00000185883
ATP6V0D1	ENSG00000159720
ATP6V0E1	ENSG00000113732
ATP6V1C1	ENSG00000155097
ATP6V1D	ENSG00000100554
ATP6V1E1	ENSG00000131100
ATP6V1F	ENSG00000128524
ATP6V1G1	ENSG00000136888
ATP6V1H	ENSG00000047249
ATPAF2	ENSG00000171953
ATPIF1	ENSG00000130770
ATRAID	ENSG00000138085
ATRN	ENSG00000088812
ATXN10	ENSG00000130638
ATXN1L	ENSG00000224470
ATXN2	ENSG00000204842
ATXN2L	ENSG00000168488
ATXN7L3	ENSG00000087152
ATXN7L3B	ENSG00000253719
AUH	ENSG00000148090
AUP1	ENSG00000115307
AURKAIP1	ENSG00000175756
AXIN1	ENSG00000103126
AZI2	ENSG00000163512
AZIN1	ENSG00000155096
B3GALT6	ENSG00000176022
B4GALT3	ENSG00000158850
B4GALT5	ENSG00000158470
B4GALT7	ENSG00000027847
BABAM1	ENSG00000105393
BAD	ENSG00000002330
BAG1	ENSG00000107262
BAG4	ENSG00000156735
BAG6	ENSG00000234651
BAG6	 ENSG00000096155
BAG6	 ENSG00000227761
BAG6	 ENSG00000233348
BAG6	 ENSG00000229524
BAG6	 ENSG00000204463
BAG6	 ENSG00000228760
BAHD1	ENSG00000140320
BANF1	ENSG00000175334
BAP1	ENSG00000163930
BAZ1B	ENSG00000009954
BBS4	ENSG00000140463
BCAP29	ENSG00000075790
BCAP31	ENSG00000185825
BCAS2	ENSG00000116752
BCAT2	ENSG00000105552
BCCIP	ENSG00000107949
BCKDHA	ENSG00000248098
BCKDK	ENSG00000103507
BCL2L1	ENSG00000171552
BCL2L13	ENSG00000099968
BCL7B	ENSG00000106635
BCLAF1	ENSG00000029363
BCS1L	ENSG00000074582
BECN1	ENSG00000126581
BFAR	ENSG00000275618
BFAR	 ENSG00000103429
BIRC2	ENSG00000110330
BLMH	ENSG00000108578
BLOC1S1	ENSG00000135441
BLOC1S2	ENSG00000196072
BLOC1S3	ENSG00000189114
BLOC1S4	ENSG00000186222
BLOC1S6	ENSG00000104164
BLZF1	ENSG00000117475
BMI1	ENSG00000168283
BMS1	ENSG00000165733
BNIP1	ENSG00000113734
BNIP2	ENSG00000140299
BOD1	ENSG00000145919
BOLA1	ENSG00000178096
BOLA3	ENSG00000163170
BPGM	ENSG00000172331
BPNT1	ENSG00000162813
